Date,Week,Number,
8/18/2016,Thu,317,
8/19/2016,Fri,233,
8/20/2016,Sat,137,
8/21/2016,Sun,151,
8/22/2016,Mon,467,
8/23/2016,Tue,330,
8/24/2016,Wed,281,
8/25/2016,Thu,279,
8/26/2016,Fri,274,
8/27/2016,Sat,162,
8/28/2016,Sun,167,
8/29/2016,Mon,444,
8/30/2016,Tue,351,
8/31/2016,Wed,321,
9/1/2016,Thu,327,
9/2/2016,Fri,284,
9/3/2016,Sat,156,
9/4/2016,Sun,171,
9/5/2016,Mon,546,
9/6/2016,Tue,354,
9/7/2016,Wed,314,
9/8/2016,Thu,333,
9/9/2016,Fri,285,
9/10/2016,Sat,162,
9/11/2016,Sun,164,
9/12/2016,Mon,458,
9/13/2016,Tue,317,
9/14/2016,Wed,257,
9/15/2016,Thu,117,
9/16/2016,Fri,137,
9/17/2016,Sat,226,
9/18/2016,Sun,506,
9/19/2016,Mon,457,
9/20/2016,Tue,364,
9/21/2016,Wed,356,
9/22/2016,Thu,328,
9/23/2016,Fri,285,
9/24/2016,Sat,176,
9/25/2016,Sun,150,
9/26/2016,Mon,500,
9/27/2016,Tue,375,
9/28/2016,Wed,285,
9/29/2016,Thu,286,
9/30/2016,Fri,183,
10/1/2016,Sat,99,
10/2/2016,Sun,121,
